台湾,#genre#
momo親子台,http://live.hodtv.tv/gttv.php?id=13661&cid=13813

CN卡通頻道,http://live.hodtv.tv/gttv.php?id=13645&cid=13797

MTV Live,http://live.hodtv.tv/gttv.php?id=14166&cid=14326

唯心電視台,http://live.hodtv.tv/gttv.php?id=13977&cid=14130

華藏電視台,http://live.hodtv.tv/gttv.php?id=13979&cid=14132

大愛電視台,http://live.hodtv.tv/gttv.php?id=13642&cid=13794

大愛電視 2,http://live.hodtv.tv/gttv.php?id=13698&cid=13851

人間衛視台,http://live.hodtv.tv/gttv.php?id=13673&cid=13826

原住民族台,http://live.hodtv.tv/gttv.php?id=11418&cid=11409

SBL超級籃球,http://live.hodtv.tv/gttv.php?id=11450&cid=11453

智林體育台,http://live.hodtv.tv/gttv.php?id=13706&cid=13859

車迷TV,http://live.hodtv.tv/gttv.php?id=14190&cid=14350

達文西教學台,http://live.hodtv.tv/gttv.php?id=13625&cid=13777

HITS頻道,http://live.hodtv.tv/gttv.php?id=14000&cid=14153

History 2,http://live.hodtv.tv/gttv.php?id=13640&cid=13792

Lifetime,http://live.hodtv.tv/gttv.php?id=13664&cid=13817

Trace Sport Stars,http://live.hodtv.tv/gttv.php?id=13704&cid=13857

Mezzo Live ,http://live.hodtv.tv/gttv.php?id=13712&cid=13865

Pet Club TV,http://live.hodtv.tv/gttv.php?id=15213&cid=15376
民視 HD,p8p://45.92.126.18:19706/615cefe0000b8a2b0c592a0127a8dd5a
民視台灣台,p8p://45.92.126.18:19706/615cf04900025ed10c5ac1d0409f9eae
民視第一台,p8p://45.92.126.18:19706/615cf01d000b41120c5a18366221dad4
台視 HD,p8p://45.92.126.18:19706/615cf10c0001987d0c5dbb55bf9bd6ed
更多免费直播源，关注微信群lfy4482暗号”加群”

台視財經,p8p://45.92.126.18:19706/615cf1970005cb4c0c5fdb60d7e44abc
台視新聞,p8p://45.92.126.18:19706/615cf168000ad47e0c5f2512951989aa
中視 HD,p8p://45.92.126.18:19706/615cee84000470af0c53d8d0e6dede6c
中視新聞,p8p://45.92.126.18:19706/615ceea900061b6e0c5469c546672e4d
中視精彩,p8p://45.92.126.18:19706/615cef2b000a183f0c56669a25583e1d
中視經典台,p8p://45.92.126.18:19706/615ceee60007b48e0c555876520737b3
華視 HD,p8p://45.92.126.18:19706/615cf279000322040c634d822dea28e8
華視體育文化,p8p://45.92.126.18:19706/615cf2bd000248ec0c6456eae60c58dc
華視資訊,p8p://45.92.126.18:19706/615cf34d0005241b0c668a26a861e2c8
公視 HD,p8p://45.92.126.18:19706/615cef60000555d20c57346a9856fc87
公視2HD,p8p://45.92.126.18:19706/615cefb3000992f10c5879b8a9027fe8	
公視3HD,p8p://45.92.126.18:19706/615cf07e0008bb700c5b9279f928a1c0
大愛電視2,p8p://45.92.126.18:19706/60c5a836000cdeac10d361e80c6f7078
大愛電視台,p8p://45.92.126.18:19706/6044917a0000fce101eb274c2044b550
好消息,p8p://45.92.126.18:19706/60b575c30003189a05772bc6fbb8fc4f
台視綜合,p8p://45.92.126.18:19706/615cf1d90008f3590c60ddff48ad15c3
台視綜合1,p8p://45.92.126.18:9906/615cf1d90008f3590c60ddff48ad15c3
客家電視,p8p://45.92.126.18:19706/615cf0b3000ee57c0c5c631584311880
原民台,p8p://45.92.126.18:19706/615cf0df00077fe20c5d0d102000e0a2
ETtoday综合 HD,p8p://45.92.126.18:19706/6043494d000e362406c925d66b8448c9
壹新聞,p8p://45.92.126.18:19706/61494a29000d70560d62917d35be0fae
壹電影HD,p8p://45.92.126.18:19706/60434a87000b209606cdef9cee9a8dfe	
壹電視綜合台,p8p://45.92.126.18:19706/60434b3c000edb9206d0b39856f672fd
寰宇新聞台,p8p://45.92.126.18:19706/60434bdc0009a41d06d32342bef082c3
寰宇新聞二台,p8p://45.92.126.18:19706/60434c6b000d588a06d552cd4d7910ec
寰宇综合,p8p://45.92.126.18:19706/60434cfa0008763606d78025a8321e46	
年代新聞,p8p://45.92.126.18:19706/618894540002fa6c0186e66d066b3e56
東森新聞,p8p://45.92.126.18:19706/6173ae660001b6721788b6c6ac08380c
寰宇財經新聞新聞,p8p://45.92.126.18:19706/60434e97000581d106ddccac446ea89d
中天新聞,p8p://45.92.126.18:19706/6174fe8b000be03302ae798f40145c4c
民視新聞,p8p://45.92.126.18:19706/61494a92000be20d0d642b3f9739874e
三立新聞,p8p://45.92.126.18:19706/61494b62000a82d50d67576561464ccf
TVBS新聞,p8p://45.92.126.18:19706/61494c2100042a180d6a3fdd3c19ba48
TVBS HD,p8p://45.92.126.18:19706/61495191000f04ab0d7f8024a458a528
東森財經,p8p://45.92.126.18:19706/61494d6b00007a520d6f47fbe773e0a5
非凡新聞,p8p://45.92.126.18:19706/614991e2000e29550e7abc54c0c10ef6
三立財經,p8p://45.92.126.18:19706/604496f8000b3b7b02009e1b5871dd53
中天綜合,p8p://45.92.126.18:19706/61494cc7000ea4840d6ccafbef48fe11
中天娛樂台,p8p://45.92.126.18:19706/61495250000bf9d20d82697552901d6f
中天亞洲,p8p://45.92.126.18:19706/60449a27000cf419020d0e24d4fdafd9	
東森超視,p8p://45.92.126.18:19706/60449b4f000e1ebf021192b074519d04
TVBS 歡樂台,p8p://45.92.126.18:19706/614942c70008d5e00d45b97fe1d761d3
年代MUCH,p8p://45.92.126.18:19706/60449ce00006c4040217af361b6c5a1a	
東森綜合,p8p://45.92.126.18:19706/60f6d48100093dde01e5183e2fe6721c
東森戲劇,p8p://45.92.126.18:19706/60449e3500031323021ce24de00b3ef2
東森電影台,p8p://45.92.126.18:19706/61494e4c000044800d72b6d5c1b77f5c
東森洋片台,p8p://45.92.126.18:19706/60449f6d000c10680221a75af38e252f
靖天育樂,p8p://45.92.126.18:19706/60469f430002fd3e09f100f732da02a0
緯來體育HD,p8p://45.92.126.18:19706/617505470005c9df02c8c6600f64eca5
三立台灣台,p8p://45.92.126.18:19706/60435a1000013bcc070a9c3b0ad870c7
三立都會台,p8p://45.92.126.18:19706/60435aa10002e65e070cd311539826d8
衛視電影台,p8p://45.92.126.18:19706/607318ce000ef9a107a827d158704e10
國興衛視,p8p://45.92.126.18:19706/6044d406000399b302ef1ad77f59ca13	
JET 綜合台,p8p://45.92.126.18:19706/6149450a0008594b0d4e8f17d7ad923b
八大第一,p8p://45.92.126.18:19706/611a7e950004e4af0be88e80bf4b6388
八大戲劇台,p8p://45.92.126.18:19706/6044d5ac000936f902f58cb70525846f
八大綜合,p8p://45.92.126.18:19706/6044d641000e5dc002f7d411a124e035
八大娛樂台,p8p://45.92.126.18:19706/6044d70900008dea02faddc78bf8a126
好萊塢電影,p8p://45.92.126.18:19706/614953030008709d0d8523c592e3c647
AXN,p8p://45.92.126.18:19706/6044d92d0004949903033b6f41d556d0
Cinemax,p8p://45.92.126.18:19706/6149544b0008eb0b0d8a2524ddcf3ee6
龍祥電影台,p8p://45.92.126.18:19706/6045bb31000469b906761b04cfa6bdb1
衛視中文台,p8p://45.92.126.18:19706/6045bbb2000922ef0678142229e89274
緯來綜合,p8p://45.92.126.18:19706/614954e8000aa2000d8c8add3b487c6c
緯來精彩,p8p://45.92.126.18:19706/6044a30800006812022fb9d6202c684d
生命電視台,p8p://45.92.126.18:19706/60463d9a0001f1630873848a76accc36
華藏衛視,p8p://45.92.126.18:19706/60463e4f0004c7480876484c7d16a8e0
人間衛視,p8p://45.92.126.18:19706/60463f7d000802da087ae4d0305dfcaf	
高點綜合,p8p://45.92.126.18:19706/6149448d0007247b0d4ca68022a5f032
東風衛視,p8p://45.92.126.18:19706/604640af000dbd7a087f919857110af4
HBO-HD,p8p://45.92.126.18:19706/604340b2000af04c06a787875d674b81
HBO原创,p8p://45.92.126.18:19706/604339520007991f068ab7ad0427275f
HBO Hits HD,p8p://45.92.126.18:19706/60442428000dc9020040224339113352
HBO 家庭,p8p://45.92.126.18:19706/610b3ea6000bd4a6041b158a2a02ace5
探索频道,p8p://45.92.126.18:19706/610b440f00018f2d04303511f19e7e5a
探索亞洲频道,p8p://45.92.126.18:19706/60433ee00002fb7906a0692e6558cb55
探索科學,p8p://45.92.126.18:19706/6043456f00065dec06ba08a499663c96
探索動力 DMAX,p8p://45.92.126.18:19706/6043467c000301e806be22909a147731
探索家庭 EVE,p8p://45.92.126.18:19706/60689d110008d7a31345719a76b95329
Outdoor,p8p://45.92.126.18:19706/60434713000a12a206c07237b306369a
ＢＳ釣りビジョン,p8p://45.92.126.18:19706/6163d87c000494010d63a6c83657671f
國家地理,p8p://45.92.126.18:19706/6043485f000c065106c583978afda437
國家地理人文,p8p://45.92.126.18:19706/6043ffe3000c6f3709925f52585be323
國家野生,p8p://45.92.126.18:19706/604401050005fe790996ca7b4ed24991
動物星球,p8p://45.92.126.18:19706/60440362000e75bc09a007eeaa0519c7
狼谷競技,p8p://45.92.126.18:19706/6045b7460004ba730666cd212d07958d
視納華仁紀實台,p8p://45.92.126.18:19706/61a39f8f000c8dac037da239539bebd9
影迷數位電影台,p8p://45.92.126.18:19706/61a3a50e000236dc039317acd57d46a4
影迷數位紀實台,p8p://45.92.126.18:19706/60494398000c2ccb1442ef592de01971
歷史頻道,p8p://45.92.126.18:19706/61a39ca40007837503723af7a7a9aeef
歷史頻道H2,p8p://45.92.126.18:19706/61a77490000a614c1275ad93036783a5
BBC Lifestyle,p8p://45.92.126.18:19706/614955d2000d41ca0d901d9987bbb53c
BBC Earth,p8p://45.92.126.18:19706/6044049e000eb7a609a4da5fcd30cc43
日本旅游频道,p8p://45.92.126.18:19706/619def07000c53ce07363500e3cb011d
EYE TV旅遊台,p8p://45.92.126.18:19706/60494553000b340f1449b191f22032d6
TLC旅遊台,p8p://45.92.126.18:19706/60440517000a918709a6b1f73be1eeb9
亞洲旅遊,p8p://45.92.126.18:19706/604405c80008412109a964c89ca82891
